Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r0003	GLC  <=> bDGLC 	CCM_01020 or CCM_05186 or CCM_05987	-1000.00	1000.00	  0.00
r0004	GLC + ATP  -> ADP + G6P 	CCM_03320 or CCM_04625 or CCM_06280 or CCM_08316	  0.00	1000.00	  0.00
r0005	ATP + bDGLC  -> ADP + bDG6P 	CCM_03320 or CCM_04625 or CCM_06280 or CCM_08316	  0.00	1000.00	  0.00
r0006	G6P  <=> F6P 	CCM_09292	-1000.00	1000.00	  0.00
r0007	F6P  <=> bDG6P 	CCM_09292	-1000.00	1000.00	  0.00
r0008	G6P  <=> bDG6P 	CCM_09292	-1000.00	1000.00	  0.00
r0009	ATP + F6P  -> ADP + FDP 	CCM_03725	  0.00	1000.00	  0.00
r0010	FDP  <=> T3P1 + T3P2 	CCM_00743 or CCM_06361 or CCM_08255	-1000.00	1000.00	  0.00
r0011	T3P1  <=> T3P2 	CCM_01640 or CCM_01674	-1000.00	1000.00	  0.00
r0012	T3P1 + NAD + PI  <=> 13PDG + NADH 	CCM_04549	-1000.00	1000.00	  0.00
r0014	3PG  <=> 2PG 	CCM_01016 or CCM_02604 or CCM_06480	-1000.00	1000.00	  0.00
r0015	2PG  <=> H2O + PEP 	CCM_06659	-1000.00	1000.00	  0.00
r0016	ADP + PEP  -> ATP + PYR 	CCM_06062	  0.00	1000.00	  0.00
r0017	FDP + H2O  -> F6P + PI 	CCM_00341	  0.00	1000.00	  0.00
r0018	ATP + OA  -> ADP + CO2 + PEP 	CCM_04470	  0.00	1000.00	  0.00
r0019	ETH + NADP  <=> ACAL + NADPH 	CCM_02761 or CCM_07382 or CCM_08946	-1000.00	1000.00	  0.00
r0020	ETH + NAD  <=> ACAL + NADH 	CCM_00451 or CCM_02484 or CCM_03437 or CCM_07377	-1000.00	1000.00	  0.00
r0022	LIPENZm + PYRm  -> CO2m + ALIPENZm 	CCM_01079 or CCM_01079	  0.00	1000.00	  0.00
r0023	COAm + ALIPENZm  -> ACCOAm + DLIPENZm 	CCM_08657 or CCM_05680	  0.00	1000.00	  0.00
r0024	DLIPENZm + NADm  -> LIPENZm + NADHm 	CCM_01222	  0.00	1000.00	  0.00
r0027	G6P + NADP  -> D6PGL + NADPH 	CCM_06983	  0.00	1000.00	  0.00
r0028	D6PGL + H2O  -> D6PGC 	CCM_08546	  0.00	1000.00	  0.00
r0029	D6PGC + NADP  -> CO2 + RL5P + NADPH 	CCM_06873	  0.00	1000.00	  0.00
r0030	RL5P  <=> XUL5P 	CCM_09525	-1000.00	1000.00	  0.00
r0031	RL5P  <=> R5P 	CCM_00462	-1000.00	1000.00	  0.00
r0032	R5P + XUL5P  <=> T3P1 + S7P 	CCM_00345 or CCM_00667	-1000.00	1000.00	  0.00
r0033	E4P + XUL5P  <=> F6P + T3P1 	CCM_00345 or CCM_00667	-1000.00	1000.00	  0.00
r0034	F6P + E4P  <=> T3P1 + S7P 	CCM_03324	-1000.00	1000.00	  0.00
r0037	ATP + RIB  -> ADP + R5P 	CCM_05337	  0.00	1000.00	  0.00
r0038	ATP + GLCNT  -> D6PGC + ADP 	CCM_01692 or CCM_05895	  0.00	1000.00	  0.00
r0039	R1P  <=> R5P 	CCM_02278	-1000.00	1000.00	  0.00
r0041	D6PGC + H2O  -> GLCNT + PI 	CCM_07972 or CCM_04038 or CCM_05160 or CCM_08674 or CCM_02293	  0.00	1000.00	  0.00
r0044	GLCN15LACe + H2Oe  -> GLCNTe 	CCM_06360 or CCM_07166	  0.00	1000.00	  0.00
r0046	PYR  -> ACAL + CO2 	CCM_01231 or CCM_05869	  0.00	1000.00	  0.00
