Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001_c	s_0025_c + 2 s_0709_c  -> 2 s_0710_c + s_1399_c 	CCM_00068 or ( CCM_03261 and CCM_02454 ) or ( CCM_01480 and CCM_02454 )	  0.00	1000.00	  0.00
r_0004_c	s_0063_c + 2 s_0709_c  -> 2 s_0710_c + s_1399_c 	( CCM_02454 and CCM_01896 ) or CCM_02991 or CCM_05911 or CCM_06299 or CCM_08217	  0.00	1000.00	  0.00
r_0005_c	s_1543_c  -> s_0001_c + s_0793_c + s_1538_c 	CCM_01185 or ( CCM_01185 and CCM_03752 )	  0.00	1000.00	  0.00
r_0007_c	s_0077_c  -> s_0312_c 	CCM_01437	  0.00	1000.00	  0.00
r_0013_c	s_0311_c + 3 s_0803_c  -> s_0294_c + s_0722_c + 6 s_0793_c + s_1322_c 	CCM_06179	  0.00	1000.00	  0.00
r_0014_c	s_0142_c + s_0793_c + s_0803_c  -> s_0313_c + s_0419_c 	CCM_05051 or CCM_06732	  0.00	1000.00	  0.00
r_0018_c	s_0176_c + s_0991_c  <=> s_0180_c + s_0953_c 	CCM_03801 or CCM_05868 or CCM_06988	-1000.00	1000.00	  0.00
r_0020_c	s_0551_c + s_0803_c + s_1360_c  -> s_0349_c + s_1322_c 	CCM_05313 or CCM_05988 or CCM_06156	  0.00	1000.00	  0.00
r_0023_c	s_0165_c + s_0803_c  <=> s_0162_c 	CCM_04181	-1000.00	1000.00	  0.00
r_0024_c	s_0232_c + s_0373_c + s_0803_c  -> s_0162_c + s_0529_c + s_0793_c 	CCM_05863	  0.00	1000.00	  0.00
r_0026_c	s_0294_c + s_0991_c  -> s_0180_c + s_1029_c 	CCM_04689 or CCM_09580	  0.00	1000.00	  0.00
r_0029_c	s_0010_c + s_0793_c  -> s_0291_c + s_0456_c 	CCM_04689 or CCM_06850 or CCM_09580	  0.00	1000.00	  0.00
r_0032_c	s_0390_c + s_0803_c  -> s_0423_c + s_1322_c 	CCM_02127 or CCM_03264 or CCM_04056	  0.00	1000.00	  0.00
r_0038_c	s_0577_c  -> s_0158_c + s_0722_c + s_0793_c 	CCM_04503	  0.00	1000.00	  0.00
r_0039_c	s_0210_c  -> s_0211_c + s_0803_c 	CCM_05999 or CCM_06004 or CCM_07445 or CCM_08444	  0.00	1000.00	  0.00
r_0040_c	s_0349_c  -> s_0210_c + s_1322_c 	CCM_06004 or CCM_06613 or CCM_07445	  0.00	1000.00	  0.00
r_0043_c	s_0215_c + 0.5 s_1275_c  -> s_0212_c 	CCM_07720	  0.00	1000.00	  0.00
r_0045_c	s_0222_c + s_0803_c  -> s_0224_c + s_0955_c 	CCM_02834	  0.00	1000.00	  0.00
r_0058_c	s_0224_c + s_1275_c  -> s_0147_c + s_0793_c 	CCM_02219	  0.00	1000.00	  0.00
r_0060_c	s_0009_c  <=> s_0165_c + s_0803_c 	CCM_04181	-1000.00	1000.00	  0.00
r_0061_c	s_0009_c + s_1198_c  -> s_0010_c + s_0793_c + s_1203_c 	CCM_02117 or CCM_09493	  0.00	1000.00	  0.00
r_0062_c	s_0232_c + s_0793_c  -> s_0456_c + s_0937_c 	CCM_01231	  0.00	1000.00	  0.00
r_0064_c	s_0056_c + s_0793_c  -> s_0166_c + s_0456_c 	CCM_01231	  0.00	1000.00	  0.00
r_0065_c	s_0261_c + s_1360_c  -> s_0324_c + s_1322_c 	CCM_06004 or CCM_07445	  0.00	1000.00	  0.00
r_0068_c	s_0180_c + s_0734_c  -> s_0991_c + s_1461_c 	CCM_00296 or CCM_02890 or CCM_03453 or CCM_06829 or CCM_07295	  0.00	1000.00	  0.00
r_0069_c	s_0264_c + s_0803_c  -> s_0285_c + s_1322_c 	CCM_08537	  0.00	1000.00	  0.00
r_0073_c	s_0279_c + s_0803_c  <=> 2 s_0793_c + s_1158_c + s_1322_c 	CCM_03016 or CCM_02457	-1000.00	1000.00	  0.00
r_0074_c	s_0279_c + s_0434_c + 2 s_0793_c  -> s_0263_c + s_0394_c + s_0803_c 	CCM_09107	  0.00	1000.00	  0.00
